action-packages	OK	desktop/action-packages	graphify-out/desktop-modules/action-packages	graphify-out/desktop-modules/_logs/action-packages.log
database	OK	desktop/database	graphify-out/desktop-modules/database	graphify-out/desktop-modules/_logs/database.log
docs	OK	desktop/docs	graphify-out/desktop-modules/docs	graphify-out/desktop-modules/_logs/docs.log
electron	OK	desktop/electron	graphify-out/desktop-modules/electron	graphify-out/desktop-modules/_logs/electron.log
resources	OK	desktop/resources	graphify-out/desktop-modules/resources	graphify-out/desktop-modules/_logs/resources.log
scripts	OK	desktop/scripts	graphify-out/desktop-modules/scripts	graphify-out/desktop-modules/_logs/scripts.log
source	FAIL(1)	desktop/source	graphify-out/desktop-modules/source	graphify-out/desktop-modules/_logs/source.log	[graphify] LLM returned invalid JSON, skipping chunk: Expecting value: line 1 column 1 (char 0) [graphify] claude-cli returned a hollow response; treating as truncation so adaptive retry can bisect the chunk. [graphify] single-file chunk /Users/liyang/Documents/code/github/Synapse/desktop/source/icon.png truncated at max_completion_tokens — partial result kept [graphify extract] scanning /Users/liyang/Documents/code/github/Synapse/desktop/source [graphify extract] found 0 code, 0 docs, 0 paper
src	OK	desktop/src	graphify-out/desktop-modules/src	graphify-out/desktop-modules/_logs/src.log
synapse-capabilities	OK	desktop/synapse-capabilities	graphify-out/desktop-modules/synapse-capabilities	graphify-out/desktop-modules/_logs/synapse-capabilities.log
tests	OK	desktop/tests	graphify-out/desktop-modules/tests	graphify-out/desktop-modules/_logs/tests.log
workflow-nodes	OK	desktop/workflow-nodes	graphify-out/desktop-modules/workflow-nodes	graphify-out/desktop-modules/_logs/workflow-nodes.log
